Date,Close
8/7/2015,22.98
8/10/2015,23.78
8/11/2015,23.66
8/12/2015,23.72
8/13/2015,23.52
8/14/2015,23.54
8/17/2015,23.39
8/18/2015,23.08
8/19/2015,22.99
8/20/2015,22.16
8/21/2015,21.47
8/24/2015,20.71
8/25/2015,20.28
8/26/2015,21.81
8/27/2015,22.63
8/28/2015,22.73
8/31/2015,22.48
9/1/2015,21.56
9/2/2015,22.21
9/3/2015,22.27
9/4/2015,21.75
9/8/2015,22.68
9/9/2015,22.23
9/10/2015,22.58
9/11/2015,22.65
9/14/2015,22.69
9/15/2015,22.94
9/16/2015,23.1
9/17/2015,23.31
9/18/2015,23.29
9/21/2015,23.53
9/22/2015,22.89
9/23/2015,23
9/24/2015,23.44
9/25/2015,23.61
9/28/2015,23.3
9/29/2015,23.71
9/30/2015,24.65
10/1/2015,24.17
10/2/2015,24.8
10/5/2015,25.42
10/6/2015,25.75
10/7/2015,26.02
10/8/2015,26.17
10/9/2015,26.07
10/12/2015,26.35
10/13/2015,26.4
10/14/2015,27.36
10/15/2015,27.43
10/16/2015,27.86
10/19/2015,27.81
10/20/2015,27.77
10/21/2015,27.41
10/22/2015,28.4
10/23/2015,28.59
10/26/2015,28.46
10/27/2015,28.44
10/28/2015,28.67
10/29/2015,27.68
10/30/2015,28.37
11/2/2015,28.7
11/3/2015,28.5
11/4/2015,28.03
11/5/2015,27.71
11/6/2015,31.55
11/9/2015,31.41
11/10/2015,30.81
11/11/2015,30.51
11/12/2015,30.4
11/13/2015,29.8
11/16/2015,30.4
11/17/2015,30.4
11/18/2015,31.03
11/19/2015,31.12
11/20/2015,31.39
11/23/2015,30.92
11/24/2015,31.17
11/25/2015,31.13
11/27/2015,31.39
11/30/2015,31.72
12/1/2015,32.75
12/2/2015,32.5
12/3/2015,32.43
12/4/2015,33.75
12/7/2015,33.11
12/8/2015,33.56
12/9/2015,32.71
12/10/2015,32.98
12/11/2015,32.49
12/14/2015,32.57
12/15/2015,32.97
12/16/2015,33.17
12/17/2015,32.67
12/18/2015,32.14
12/21/2015,32.9
12/22/2015,32.93
12/23/2015,33.06
12/24/2015,33.17
12/28/2015,33.14
12/29/2015,33.68
12/30/2015,33.39
12/31/2015,32.96
1/4/2016,32.37
1/5/2016,32.89
1/6/2016,31.53
1/7/2016,30.28
1/8/2016,29.63
1/11/2016,29.68
1/12/2016,30.18
1/13/2016,29.26
1/14/2016,28.67
1/15/2016,27.11
1/19/2016,27.33
1/20/2016,27.48
1/21/2016,27.8
1/22/2016,28.45
1/25/2016,28.42
1/26/2016,28.7
1/27/2016,28.36
1/28/2016,28.05
1/29/2016,29.29
2/1/2016,29.3
2/2/2016,28.06
2/3/2016,28.2
2/4/2016,28.21
2/5/2016,26.43
2/8/2016,25.22
2/9/2016,25.49
2/10/2016,25.43
2/11/2016,25.3
2/12/2016,25.73
2/16/2016,26.99
2/17/2016,27.66
2/18/2016,30.04
2/19/2016,30.44
2/22/2016,31.52
2/23/2016,31.6
2/24/2016,31.82
2/25/2016,31.89
2/26/2016,31.68
2/29/2016,31.36
3/1/2016,32.75
3/2/2016,32.94
3/3/2016,32.65
